Timestamp,Voltage,Current,Transformer_kW,Scenario,Fault_Feeder
2026-05-08 11:18:12,224.85,10.41,21.27,Normal,
2026-05-08 11:33:12,0,0,0,Power Cut,F1
2026-05-08 11:48:12,245.03,31.67,54,Lighting,F2
2026-05-08 12:03:12,226.85,14.84,31.69,Normal,
2026-05-08 12:18:12,228.47,8.64,32.58,Normal,
2026-05-08 12:33:12,224.22,11.1,23.15,Normal,
2026-05-08 12:48:12,209.76,28.77,54.7,Theft,F2
2026-05-08 13:03:12,183.83,20.19,21.47,Branch Touching,F4
2026-05-08 13:18:12,156.64,23.31,25.12,Branch Touching,F4
2026-05-08 13:33:12,244.81,43.83,49.09,Lighting,F2
2026-05-08 13:48:12,275.29,34.42,67.77,Lighting,F2
2026-05-08 14:03:12,224.16,11.26,33.61,Normal,
2026-05-08 14:18:12,175.13,33.11,26.2,Branch Touching,F4
2026-05-08 14:33:12,201.05,19.92,48.49,Theft,F2
2026-05-08 14:48:12,268.41,35.63,52.31,Lighting,F2
2026-05-08 15:03:12,193.47,21.86,45.79,Theft,F2
2026-05-08 15:18:12,0,0,0,Power Cut,F1
2026-05-08 15:33:12,175.46,31.67,28.42,Branch Touching,F4
2026-05-08 15:48:12,180.68,25.04,44.98,Theft,F2
2026-05-08 16:03:12,183.65,34.51,22.51,Branch Touching,F4
2026-05-08 16:18:12,115.54,33.74,21.64,Ground Fault,F3
2026-05-08 16:33:12,0,0,0,Power Cut,F1
2026-05-08 16:48:12,184.9,20.86,17.47,Branch Touching,F4
2026-05-08 17:03:12,157.57,33.13,22.19,Branch Touching,F4
2026-05-08 17:18:12,270.46,48.95,67.78,Lighting,F2
2026-05-08 17:33:12,0,0,0,Power Cut,F1
2026-05-08 17:48:12,222.41,8.46,33.02,Normal,
2026-05-08 18:03:12,0,0,0,Power Cut,F1
2026-05-08 18:18:12,0,0,0,Power Cut,F1
2026-05-08 18:33:12,228.03,12.48,33.23,Normal,
2026-05-08 18:48:12,113.86,29.96,11.91,Ground Fault,F3
2026-05-08 19:03:12,262.8,49.96,61.59,Lighting,F2
2026-05-08 19:18:12,181.88,29.4,43.08,Theft,F2
2026-05-08 19:33:12,187.19,24.28,44.98,Theft,F2
2026-05-08 19:48:12,168.18,31.43,26.87,Branch Touching,F4
2026-05-08 20:03:12,195.13,27.13,41.36,Theft,F2
2026-05-08 20:18:12,0,0,0,Power Cut,F1
2026-05-08 20:33:12,123.23,26.51,12.98,Ground Fault,F3
2026-05-08 20:48:12,265.51,38.38,53.75,Lighting,F2
2026-05-08 21:03:12,265.93,42.4,51.12,Lighting,F2
2026-05-08 21:18:12,269.94,35.21,60.59,Lighting,F2
2026-05-08 21:33:12,222.8,14.15,30.91,Normal,
2026-05-08 21:48:12,0,0,0,Power Cut,F1
2026-05-08 22:03:12,0,0,0,Power Cut,F1
2026-05-08 22:18:12,227.01,8.17,21.64,Normal,
2026-05-08 22:33:12,227.42,11.36,23.22,Normal,
2026-05-08 22:48:12,0,0,0,Power Cut,F1
2026-05-08 23:03:12,208.93,23.01,41.96,Theft,F2
2026-05-08 23:18:12,205.9,25.8,40.27,Theft,F2
2026-05-08 23:33:12,155.59,21.61,22.35,Branch Touching,F4
2026-05-08 23:48:12,0,0,0,Power Cut,F1
2026-05-09 00:03:12,0,0,0,Power Cut,F1
2026-05-09 00:18:12,187.36,21.05,28.4,Branch Touching,F4
2026-05-09 00:33:12,183.66,30.96,19.76,Branch Touching,F4
2026-05-09 00:48:12,190.94,19.71,41.72,Theft,F2
2026-05-09 01:03:12,0,0,0,Power Cut,F1
2026-05-09 01:18:12,203.07,22.03,48.6,Theft,F2
2026-05-09 01:33:12,104.77,31.62,18.85,Ground Fault,F3
2026-05-09 01:48:12,184,18.57,48.52,Theft,F2
2026-05-09 02:03:12,240.24,49.12,68.13,Lighting,F2
2026-05-09 02:18:12,151.58,34.41,16.23,Ground Fault,F3
2026-05-09 02:33:12,186.57,26.63,58.15,Theft,F2
